element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Tb,17.325287,17.36231,0.0,31.454214,12.599599,0.0,5.703799,34.385033,46.65403,0.0,0.0,29.710453,28.995102,0.0,30.84679,0.0,28.426222,28.322098,0.0,29.917027,28.18761,0.0,28.937609,30.364918,20.168964,35.24469,35.16362,32.959064,15.534712,35.09939,0.0,37.16771,19.157541,7.4967213,0.0,15.547338,34.992203,0.0,18.574898,30.766548,30.366776,0.0,34.76043,31.751352,20.879604,32.126766,0.0,0.0,34.3853,33.70211,0.0
Ho,21.802937,22.74169,0.0,30.029774,17.449612,0.0,5.631087,35.39418,42.432003,0.0,0.0,28.7995,21.109846,0.0,28.341063,0.0,31.103859,27.795723,0.0,29.933334,28.64301,0.0,27.872164,27.80643,17.670822,33.08373,31.683533,28.813978,7.906398,32.619972,0.0,33.127045,22.804327,2.7412002,0.0,21.16561,27.765123,0.0,18.723686,29.392473,26.510437,0.0,31.19219,32.30259,22.877195,31.137827,0.0,0.0,32.051132,31.612906,0.0
Nb,10.08633,10.770007,0.0,23.142563,17.599102,0.0,14.273731,39.130634,51.22361,0.0,0.0,34.713764,34.856205,0.0,33.59285,0.0,33.243,34.760033,0.0,37.78731,35.06054,0.0,31.524916,40.198402,18.639032,38.57362,37.488163,36.541664,5.082683,43.66209,0.0,41.333546,6.711506,15.963781,0.0,15.515635,40.170204,0.0,3.2778904,33.69211,31.878538,0.0,36.35749,37.15762,16.71923,36.398666,0.0,0.0,35.916218,39.37844,0.0
Ge,4.734696,9.243304,0.0,16.748158,11.50345,0.0,9.29798,38.2277,52.43548,0.0,0.0,34.284336,39.604733,0.0,36.595062,0.0,35.22628,34.503307,0.0,38.063442,30.769072,0.0,34.02187,39.021507,22.120926,40.439217,43.92222,29.028055,13.837223,39.576954,0.0,41.805336,7.9764485,24.036339,0.0,7.9193892,36.675884,0.0,18.489819,32.25828,37.327175,0.0,40.175808,35.57961,7.8707247,40.059532,0.0,0.0,36.728115,43.087444,0.0
Zr,14.465832,12.576501,0.0,25.625916,18.553236,0.0,11.821149,34.77831,50.34348,0.0,0.0,33.298206,33.702805,0.0,33.129524,0.0,32.041443,33.97869,0.0,33.550446,32.612537,0.0,30.53922,39.17527,18.199286,37.941967,36.722282,35.94885,6.570882,40.912086,0.0,37.70981,10.7979555,10.85298,0.0,18.29058,38.019745,0.0,5.8755374,33.64401,31.98927,0.0,38.22133,34.070736,18.863771,32.878296,0.0,0.0,35.262863,36.00437,0.0
Cd,5.44595,7.3182745,0.0,21.290468,15.622544,0.0,11.430393,40.54923,49.209072,0.0,0.0,37.120937,36.51584,0.0,36.138313,0.0,34.709496,37.127716,0.0,39.490982,31.47616,0.0,35.233055,40.299297,21.666344,43.673725,42.788864,30.862556,7.543836,42.838245,0.0,41.794327,7.1347356,18.411913,0.0,10.918528,37.397396,0.0,12.6583185,32.41061,37.979053,0.0,40.26333,37.967274,11.124736,40.669178,0.0,0.0,36.685024,41.76585,0.0
V,4.7367268,7.282829,0.0,18.686222,13.13351,0.0,16.238523,38.491467,50.347145,0.0,0.0,36.90615,36.8878,0.0,36.10902,0.0,34.885857,36.3341,0.0,38.69485,30.985722,0.0,34.58621,39.39196,18.523275,40.218372,41.591103,33.908253,6.2187886,45.232906,0.0,40.720097,4.8383493,20.188309,0.0,11.69503,37.668156,0.0,14.249108,32.68102,35.700123,0.0,39.300728,37.152184,10.412593,41.625813,0.0,0.0,34.613167,39.47892,0.0
Sr,7.789579,8.805278,0.0,22.018047,10.200111,0.0,5.173147,42.984,53.997456,0.0,0.0,35.6823,36.811,0.0,35.34489,0.0,35.87344,35.62273,0.0,39.937946,35.91362,0.0,32.288616,38.627678,20.484842,44.132935,44.26648,32.255196,7.2671304,42.794792,0.0,44.651207,12.662471,13.440712,0.0,10.332024,36.74663,0.0,10.685772,30.066702,36.6701,0.0,44.054016,40.181908,13.1987915,39.74509,0.0,0.0,40.729027,43.197918,0.0
Ni,2.912619,1.8709453,0.0,16.600527,11.062487,0.0,9.26809,41.083797,52.84544,0.0,0.0,39.292583,42.628952,0.0,39.404884,0.0,38.012386,38.853188,0.0,40.532875,37.33203,0.0,37.240414,41.16843,23.570528,46.401596,47.35583,29.24499,1.8947289,46.765945,0.0,45.048355,2.6844463,15.623622,0.0,6.253194,41.591324,0.0,8.514219,34.691875,38.36289,0.0,45.257286,41.25855,7.429821,42.976852,0.0,0.0,41.19924,42.501358,0.0
Rh,10.376044,13.522032,0.0,18.077232,23.59301,0.0,25.478067,35.859703,41.342236,0.0,0.0,30.101786,27.873947,0.0,30.143387,0.0,25.656317,28.654852,0.0,30.339527,27.259167,0.0,27.723919,36.772938,10.015482,31.205675,32.00517,24.954802,15.678064,30.52209,0.0,35.500366,13.17235,23.800331,0.0,20.339994,29.369656,0.0,12.205291,24.49554,29.523468,0.0,31.386913,29.984957,19.106743,34.997227,0.0,0.0,28.31631,32.71018,0.0
Th,21.304482,29.570034,0.0,41.548824,0.0,0.0,10.904035,21.35392,33.24967,0.0,0.0,17.349533,15.841367,0.0,18.079773,0.0,6.90931,18.708506,0.0,7.827363,17.84548,0.0,15.8908205,16.830442,4.5348806,18.613274,28.35068,23.003864,19.164927,13.182902,0.0,29.713758,17.813822,20.409733,0.0,16.347185,20.324518,0.0,6.709993e-05,20.350662,18.929947,0.0,21.16958,17.567274,30.546942,16.294872,0.0,0.0,24.048851,16.496058,0.0
Na,2.6587048,1.7147113,0.0,16.210127,7.275995,0.0,2.6702921,46.20367,52.644497,0.0,0.0,40.373085,44.20823,0.0,39.843605,0.0,41.23898,37.430016,0.0,45.663082,34.80244,0.0,38.439445,41.832825,23.743088,44.875393,50.223557,26.776396,0.26521847,52.63211,0.0,46.422955,4.1666975,10.107991,0.0,4.36266,41.087833,0.0,7.4349017,34.973927,39.409657,0.0,46.584827,41.81568,5.12468,46.171696,0.0,0.0,44.80231,44.97561,0.0
Ru,10.935361,13.332812,0.0,21.802193,27.860907,0.0,25.865627,32.09196,49.55775,0.0,0.0,32.337467,30.415365,0.0,30.192354,0.0,25.572252,32.58864,0.0,30.240881,27.476753,0.0,29.169176,37.941475,13.949562,35.644608,33.367798,33.87932,3.4461892,34.11502,0.0,31.964386,6.705575,18.054333,0.0,19.596764,32.253563,0.0,5.7467623,27.813705,30.753777,0.0,31.070866,30.689625,22.939926,30.551842,0.0,0.0,29.429607,35.452118,0.0
La,10.461283,10.422412,0.0,24.708063,8.757709,0.0,2.8441305,43.407566,52.85821,0.0,0.0,36.48223,34.20855,0.0,34.563297,0.0,35.74172,35.6249,0.0,38.78548,35.08557,0.0,31.714766,36.195976,20.134562,43.02515,42.34414,31.45053,7.7016196,42.010807,0.0,44.320328,13.917327,9.205139,0.0,13.26275,38.64247,0.0,8.846478,31.241798,35.680897,0.0,43.763344,39.683903,14.333843,37.58767,0.0,0.0,40.544456,42.218792,0.0
Re,10.458462,14.111711,0.0,27.188929,17.273447,0.0,32.68984,27.6141,29.004261,0.0,0.0,28.347778,17.16985,0.0,25.885183,0.0,25.430603,26.82391,0.0,25.893398,24.145588,0.0,23.606588,32.039307,12.755856,33.02445,28.139671,37.589024,4.265436,32.413506,0.0,27.5154,15.358944,15.9628105,0.0,27.915426,30.590452,0.0,10.078915,16.977566,28.915281,0.0,29.4006,27.98835,26.643135,30.53403,0.0,0.0,25.899982,27.007145,0.0
Y,14.870972,15.084605,0.0,29.924278,9.189616,0.0,5.5836177,41.482998,47.21983,0.0,0.0,33.650288,33.711456,0.0,31.56476,0.0,35.47698,31.773647,0.0,36.255123,33.290977,0.0,29.613783,34.522022,20.898518,36.439083,40.53921,33.995167,7.586156,43.007504,0.0,38.944122,14.582108,8.285996,0.0,18.81683,36.732815,0.0,12.055273,31.87489,31.249928,0.0,39.055626,35.928677,17.767704,35.500927,0.0,0.0,37.587463,37.0276,0.0
Er,20.877344,21.243277,0.0,31.87651,12.362802,0.0,4.2379217,36.32989,44.008728,0.0,0.0,28.868132,28.392973,0.0,30.433754,0.0,31.349005,27.479206,0.0,30.287516,29.127598,0.0,25.346615,31.415953,16.29076,34.39386,30.923271,27.590206,8.533186,36.140335,0.0,34.930996,21.164598,3.9068394,0.0,22.185476,30.539263,0.0,18.108446,31.604753,25.92467,0.0,32.832912,30.386637,24.477951,28.393423,0.0,0.0,30.565006,31.841093,0.0
Ce,14.702605,15.563716,0.0,29.50413,11.069401,0.0,5.275806,38.122658,51.461372,0.0,0.0,34.689507,32.879295,0.0,33.257507,0.0,33.734093,32.859062,0.0,35.6307,33.89423,0.0,30.11183,35.25472,18.143595,38.78058,39.158066,35.818417,8.170392,40.806076,0.0,37.476196,12.5942135,10.039482,0.0,14.999982,39.140095,0.0,6.085252,31.05645,31.526587,0.0,37.423996,35.0901,17.762323,35.264305,0.0,0.0,39.14638,38.07653,0.0
Pt,7.6952753,8.855887,0.0,20.875973,19.6172,0.0,20.705553,34.552216,46.171352,0.0,0.0,33.27466,32.46402,0.0,32.626812,0.0,24.989393,30.732864,0.0,31.244865,29.652191,0.0,32.457508,35.41831,16.807775,35.482216,37.275635,31.077953,8.372197,34.98058,0.0,36.2177,6.288549,27.444698,0.0,16.20659,34.2996,0.0,15.831723,24.022917,32.79719,0.0,35.903675,33.931095,14.892536,35.27707,0.0,0.0,31.639713,37.69281,0.0
Ga,3.485462,5.9780283,0.0,18.027782,14.743657,0.0,12.359782,40.106075,51.286907,0.0,0.0,37.081127,39.300465,0.0,38.014935,0.0,35.107857,35.718155,0.0,40.887432,34.988255,0.0,35.734306,39.747334,22.684124,42.17854,44.574383,30.438066,7.119184,41.727406,0.0,40.864906,4.469732,22.847897,0.0,8.880778,37.981026,0.0,13.545377,32.72186,38.326954,0.0,41.54095,37.606354,7.920577,39.69175,0.0,0.0,37.646236,42.61758,0.0
Li,4.607172,4.9031835,0.0,19.528553,12.158878,0.0,8.728473,42.31508,51.220753,0.0,0.0,38.816914,39.629673,0.0,38.2955,0.0,36.966064,37.175907,0.0,41.98047,34.116497,0.0,36.52118,40.69613,23.272497,44.119843,45.412987,29.91599,5.3287153,46.64896,0.0,43.61841,5.3567834,16.223793,0.0,7.3853045,39.530632,0.0,10.691209,35.428074,37.558315,0.0,42.38112,40.74547,8.700796,43.045135,0.0,0.0,40.699905,44.365772,0.0
Cs,6.870839,8.727946,0.0,20.60076,6.5940447,0.0,3.3606985,41.70967,54.738594,0.0,0.0,34.90243,39.360134,0.0,35.965435,0.0,35.91805,34.756847,0.0,37.956673,33.628002,0.0,33.036133,36.412968,23.091145,41.172554,43.74077,29.270065,10.789611,43.834103,0.0,44.71003,11.841685,16.46416,0.0,8.856397,37.694447,0.0,14.562323,30.597702,35.7782,0.0,43.04284,39.862514,11.05438,41.672962,0.0,0.0,39.327503,41.74199,0.0
F,4.476277,10.481025,0.0,19.789783,3.7497065,0.0,8.509973,39.528397,55.16722,0.0,0.0,33.721275,36.39037,0.0,34.06035,0.0,31.200457,34.47082,0.0,33.30015,28.765663,0.0,32.609055,37.45135,18.755436,40.88856,42.528366,30.045376,18.233458,40.287697,0.0,44.96486,13.796873,23.49958,0.0,8.860362,32.479652,0.0,18.02848,28.414553,34.981705,0.0,39.041885,36.644596,7.6706066,41.379944,0.0,0.0,34.537163,39.41786,0.0
Ba,6.187665,6.8957877,0.0,19.444695,8.1351185,0.0,0.0,44.825733,51.87908,0.0,0.0,35.898525,38.011005,0.0,35.942806,0.0,38.89247,36.025215,0.0,38.836403,38.442135,0.0,31.489372,39.23293,21.428776,45.871433,47.123486,30.67134,6.3949285,44.78704,0.0,48.754875,13.13987,10.3497715,0.0,9.232,38.6809,0.0,10.5526705,31.5102,35.850155,0.0,46.462234,38.70595,11.382988,36.521965,0.0,0.0,41.80747,44.65926,0.0
Te,7.542773,12.111499,0.0,20.439644,10.718862,0.0,13.421248,37.993885,52.415737,0.0,0.0,33.319206,38.00891,0.0,34.189854,0.0,31.099766,34.985016,0.0,35.736633,28.785095,0.0,29.818966,39.885563,17.1089,37.66858,39.502567,34.531834,10.461957,42.220043,0.0,40.540855,10.43786,18.76444,0.0,15.290507,35.232887,0.0,11.570525,32.415356,32.656307,0.0,41.14652,36.031227,14.866445,39.491905,0.0,0.0,31.90598,36.23199,0.0
Mo,8.960809,11.273694,0.0,22.463602,12.427941,0.0,13.475318,38.592842,50.344868,0.0,0.0,33.254677,34.797077,0.0,34.069256,0.0,33.73664,34.226826,0.0,36.78299,30.73357,0.0,32.191067,37.89587,19.228533,39.635975,39.262463,33.064255,10.064283,41.971863,0.0,40.245445,10.003561,18.97382,0.0,13.910508,35.222904,0.0,12.754772,30.512415,33.69713,0.0,38.233307,36.318546,14.270691,39.120647,0.0,0.0,35.041176,38.63119,0.0
Gd,16.371344,17.724848,0.0,30.598984,14.364861,0.0,7.716375,36.836395,48.375057,0.0,0.0,30.84413,30.317974,0.0,30.427084,0.0,30.545406,30.515186,0.0,32.20188,30.863909,0.0,28.072319,33.30229,17.734808,35.60758,34.991425,34.039593,11.384608,36.754482,0.0,36.97352,17.007267,10.87724,0.0,19.069649,33.585136,0.0,12.354423,29.367743,29.7493,0.0,35.07106,32.4648,21.560045,32.090935,0.0,0.0,34.508446,35.19209,0.0
Pr,15.368741,17.841375,0.0,29.349806,12.578686,0.0,7.5604486,35.74495,48.067486,0.0,0.0,30.608143,30.42396,0.0,30.964888,0.0,30.720203,31.281641,0.0,32.00328,30.709332,0.0,28.800535,33.37355,17.928305,36.84541,35.367615,34.094757,13.059651,36.88424,0.0,36.554806,16.261835,13.28151,0.0,16.981134,33.558483,0.0,12.403325,29.27935,30.287556,0.0,34.637802,32.677162,20.255686,31.809551,0.0,0.0,34.372044,34.80847,0.0
Bi,9.375327,12.263829,0.0,23.689657,11.10277,0.0,9.461947,39.089027,50.652824,0.0,0.0,33.927147,35.864063,0.0,33.989857,0.0,33.545166,33.614807,0.0,36.730865,32.372562,0.0,32.232365,37.82171,19.24369,40.215687,40.55136,32.405117,10.701432,40.266277,0.0,41.31735,12.214357,17.380552,0.0,14.099931,35.9786,0.0,12.431729,31.46814,34.159325,0.0,40.217857,35.701477,15.294581,37.927174,0.0,0.0,36.56303,39.605423,0.0
Sc,15.505963,16.184103,0.0,26.894665,18.158068,0.0,14.4455805,33.500046,44.994846,0.0,0.0,30.208183,27.493849,0.0,29.191614,0.0,28.585108,29.929377,0.0,30.056051,28.657122,0.0,27.942434,32.638245,16.13685,34.57943,32.09974,33.872715,8.285427,36.217834,0.0,34.186584,13.681099,11.263704,0.0,19.55745,31.552515,0.0,10.020478,27.455006,29.23997,0.0,31.776167,31.421484,21.963118,30.192974,0.0,0.0,30.217653,32.699177,0.0
Ag,5.4801073,8.60969,0.0,20.048244,10.168722,0.0,8.151654,40.59719,52.66444,0.0,0.0,35.3346,37.809456,0.0,35.921722,0.0,34.827446,36.224693,0.0,38.565613,31.634956,0.0,34.044807,38.29638,21.686218,41.81318,42.990982,30.703701,10.561543,42.806873,0.0,42.43159,9.069408,19.678627,0.0,9.675727,35.921005,0.0,14.596745,32.119205,36.29829,0.0,41.480247,37.843693,10.106326,40.718018,0.0,0.0,36.948326,41.270866,0.0
Rb,8.287767,10.977466,0.0,22.736753,7.9551105,0.0,4.8881545,40.19014,53.086613,0.0,0.0,34.471275,36.994263,0.0,34.57405,0.0,34.43666,34.62472,0.0,36.783104,31.474247,0.0,32.578552,37.05761,21.212698,41.59869,42.360588,30.934248,12.096171,41.920044,0.0,43.246853,11.307533,17.683987,0.0,11.156663,35.675808,0.0,14.107097,30.946644,35.538616,0.0,41.725258,37.458065,11.367709,39.274193,0.0,0.0,37.71779,39.894978,0.0
Dy,18.452759,19.805113,0.0,31.420078,16.062525,0.0,7.469503,32.62333,45.38218,0.0,0.0,27.233643,25.994596,0.0,27.616463,0.0,27.976753,27.60856,0.0,27.337725,28.96553,0.0,25.827002,30.071857,17.12015,33.070107,31.209705,30.879517,12.524183,32.87589,0.0,33.149727,18.52934,7.2693305,0.0,19.595522,29.571657,0.0,13.716569,26.78404,26.372978,0.0,31.378344,30.61865,23.08139,29.534487,0.0,0.0,30.583603,30.549133,0.0
Yb,19.709291,20.58092,0.0,31.943747,17.426949,0.0,8.803354,31.186834,45.337658,0.0,0.0,27.032661,25.313475,0.0,27.499506,0.0,26.592842,26.831835,0.0,26.919521,26.876766,0.0,25.69388,28.946478,16.13786,31.85452,30.084932,32.981644,12.49387,34.258274,0.0,31.780405,18.18573,6.9799194,0.0,20.928381,28.948927,0.0,12.845399,25.366253,26.60149,0.0,30.98249,29.5091,23.515074,28.581755,0.0,0.0,30.495697,29.718292,0.0
Nd,13.427062,14.456609,0.0,28.133825,11.627341,0.0,6.4953504,38.146275,48.700382,0.0,0.0,33.028603,33.240753,0.0,32.684917,0.0,33.92455,31.993116,0.0,34.655415,31.436565,0.0,30.607702,35.088097,20.03487,39.19453,38.93576,32.769123,9.88884,40.573364,0.0,39.393513,14.165459,11.038,0.0,15.502673,35.648727,0.0,11.678139,30.237263,32.79931,0.0,38.134087,35.014275,16.950417,35.225285,0.0,0.0,36.776962,37.499462,0.0
Au,7.7530904,11.9974165,0.0,21.612959,13.106546,0.0,12.352901,35.668983,48.103764,0.0,0.0,32.377964,33.71626,0.0,31.580276,0.0,29.841162,32.06895,0.0,32.433212,29.393213,0.0,31.148685,35.886017,18.616526,38.115055,37.089233,31.20138,15.406072,36.705334,0.0,38.842163,11.119727,23.664139,0.0,12.845884,32.59796,0.0,15.614105,27.615704,33.25243,0.0,35.965397,33.959743,12.774845,35.870216,0.0,0.0,33.482754,37.356995,0.0
Os,15.83292,18.126228,0.0,24.560286,20.434381,0.0,23.055708,27.25399,37.759914,0.0,0.0,25.599812,21.53995,0.0,23.897474,0.0,21.058838,24.050278,0.0,23.76229,23.645145,0.0,22.791765,29.071884,10.934565,27.799263,24.560028,31.733015,11.3621235,27.691868,0.0,27.038063,14.299245,16.358212,0.0,23.36247,25.653772,0.0,9.835426,21.083004,23.330833,0.0,25.271912,26.094694,24.358347,24.24298,0.0,0.0,24.357265,24.885088,0.0
Pa,4.0446124,4.651223,0.0,3.9444094,3.1989896,0.0,2.6612406,1.2834557,3.3787587,0.0,0.19961892,2.2236202,0.93756074,0.0,1.8809606,0.0,1.1715375,1.2000066,0.0,0.6476059,1.7614244,0.6666927,1.475657,1.3834405,1.1371592,2.1409187,1.3585749,3.5144145,3.8973124,0.8975906,0.0,1.440359,2.9829464,2.4030988,0.0,3.4855669,1.6828768,0.56304926,1.5936779,0.9826419,1.5050542,0.0,1.6257547,1.7324685,3.7685273,0.67765206,0.763715,0.48197228,1.8418356,1.1557927,0.32599118
Sm,17.287062,19.898178,0.0,30.85382,12.801307,0.0,7.8652616,33.444263,46.391457,0.0,0.0,28.25132,28.990858,0.0,28.179173,0.0,26.66723,28.964607,0.0,27.574581,29.044245,0.0,26.368874,30.037802,17.132168,32.83673,33.352016,31.682352,14.977307,33.077038,0.0,35.768406,17.843248,13.943129,0.0,18.410149,30.957563,0.0,12.80313,26.83815,28.31285,0.0,32.718388,29.922503,21.980509,29.311506,0.0,0.0,31.861578,31.469973,0.0
Be,7.585268,13.843989,0.0,17.45416,9.620527,0.0,19.251822,23.629446,29.908487,0.0,0.0,22.259323,20.779024,0.0,19.324047,0.0,14.959602,19.739777,0.0,16.053993,16.288443,0.0,18.747755,23.48148,9.354862,22.982075,23.503113,23.329199,18.115252,19.47254,0.0,24.768543,9.425125,30.624922,0.0,14.231725,20.324453,0.0,13.758418,16.366508,21.074852,0.0,21.078495,19.58481,14.77273,21.968039,0.0,0.0,19.40698,21.66484,0.0
Ac,1.0101657,1.2032084,0.1581836,0.80267984,0.84534115,0.0,0.8474494,0.5455703,1.0431479,0.07924266,0.0,0.25495574,0.15682001,0.014719063,0.46412626,0.0,0.11303018,0.18161497,0.0,0.08459458,0.3589642,0.23455773,0.33496115,0.51590806,0.3823855,0.45753202,0.32062268,1.1065471,1.1899863,0.15795246,0.0,0.36206242,0.47520107,1.0778105,0.032395177,0.9923645,0.31953508,0.21565017,0.6114468,0.33007604,0.29998115,0.0,0.14894246,0.10508369,1.2846626,0.19524267,0.20187338,0.031852584,0.2847861,0.29435673,0.0
Xe,16.147198,18.609505,0.0,19.997211,10.233788,0.0,10.345943,12.290893,21.006254,0.0,0.0,10.845427,9.044194,0.0,10.323048,0.0,8.462222,11.452646,0.0,7.5192447,9.879373,0.0,10.907961,11.09938,5.6761236,12.732716,9.911716,19.677244,14.180648,10.832511,0.0,12.906524,12.797798,11.205997,0.27513245,15.063666,10.7885685,0.0,7.898749,8.762828,10.479116,0.0,11.359241,11.995922,16.820036,10.85785,0.3113765,0.0,10.44066,9.844102,0.0
Kr,4.4619703,5.945759,0.0,5.2220516,3.89813,0.0,5.1474686,2.789336,4.7332397,0.0,0.0,2.6972346,1.8184345,0.0,2.6616292,0.0,1.8488439,1.9045578,0.0,1.0548484,1.9776081,0.0,2.4217575,3.5463839,1.7428397,2.464299,1.3964744,5.9215584,5.036548,1.3860158,0.0,2.7590086,3.9062657,3.645798,0.0,4.184251,1.8671771,0.0,3.5272944,1.9776007,2.4965012,0.0,1.9412816,2.8895369,4.96891,2.8533337,0.41252795,0.35751173,2.4437199,1.2746563,0.0495258
