element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
H,-0.9666045308113098,0.12978185713291168,-0.47799941897392273,0.011795095168054104,0.5454115271568298,-0.28615719079971313,0.02921247109770775,1.3686450719833374,1.9734561443328857,5.29948616027832,-0.13696932792663574,2.0337202548980713,1.87650728225708,2.503204584121704,-2.8921985626220703,3.186957359313965,-0.33050864934921265,1.5831140279769897,0.7828025817871094,6.400384426116943
He,0.0005119764246046543,-0.0016913885483518243,0.00029602283029817045,0.00016638565284665674,-0.0036574681289494038,-0.00112062762491405,-0.00015878543490543962,0.0037464278284460306,-0.004494229331612587,-0.0003036549314856529,0.0003059259324800223,0.0014683717163279653,-0.0008089024340733886,0.0010375343263149261,-0.00010484299127710983,-0.0010949831921607256,-0.0008807594422250986,-0.00024212013522628695,-0.00018430326599627733,0.0007757693529129028
Li,-8.81207275390625,15.823334693908691,24.882526397705078,-6.808282375335693,5.230344772338867,-11.218262672424316,11.258138656616211,2.473674774169922,-4.719959735870361,-6.81395959854126,-4.880602836608887,15.647431373596191,4.090189456939697,9.770830154418945,-4.575366497039795,19.578428268432617,14.653011322021484,3.571413040161133,-2.821479320526123,19.832826614379883
Be,-0.04688680171966553,-0.866161584854126,-0.775567352771759,0.13195176422595978,-0.08220928907394409,-1.6778968572616577,1.6492648124694824,1.676627516746521,-0.6056082248687744,-0.40223804116249084,1.493354082107544,-0.37238961458206177,-1.64298415184021,0.21111372113227844,0.7370810508728027,0.4481712579727173,0.22351908683776855,1.9089961051940918,-0.7868407964706421,6.973182201385498
B,-34.32201385498047,-0.4963982105255127,-12.558058738708496,8.77194881439209,7.587599277496338,-11.153410911560059,-1.706414818763733,-1.3259727954864502,6.4127912521362305,1.420759677886963,2.832383155822754,0.7030874490737915,0.4601151645183563,3.033621072769165,-0.7188790440559387,-1.8099658489227295,-5.344667911529541,2.5233051776885986,-0.3308129906654358,9.38676643371582
C,-14.559516906738281,-0.999398946762085,-5.540573596954346,0.881345272064209,4.648038387298584,-2.5498907566070557,-3.1431167125701904,3.436128616333008,-1.066927194595337,1.1739740371704102,-1.7960090637207031,-2.5360636711120605,-0.36176759004592896,2.876070499420166,-3.264129877090454,-1.0711302757263184,-5.768511772155762,4.361485004425049,0.46553221344947815,8.336217880249023
N,1.0455080270767212,2.2837181091308594,2.984945297241211,1.1900819540023804,-0.9792202711105347,2.8562891483306885,0.3907511234283447,12.314751625061035,1.741294026374817,-12.744495391845703,3.0553030967712402,-39.101585388183594,19.401945114135742,26.453502655029297,-22.718046188354492,6.099121570587158,-10.197064399719238,4.088145732879639,1.742955207824707,11.207961082458496
O,0.16457919776439667,-0.15486586093902588,0.03627130389213562,0.06566377729177475,0.057206232100725174,0.05680347979068756,-0.20758700370788574,-1.0169075727462769,-0.728947639465332,-0.8785910606384277,-0.4179868996143341,-0.004153228364884853,0.5436735153198242,3.6473095417022705,7.6358113288879395,-2.7677083015441895,4.1077728271484375,-7.088672637939453,108.04373931884766,25.337217330932617
F,2.3067684173583984,2.0138018131256104,5.283190727233887,-0.6880858540534973,-0.7459209561347961,2.7258543968200684,4.61998176574707,13.121973037719727,8.514609336853027,32.86074447631836,3.7745096683502197,1.2278228998184204,2.027740478515625,2.6346662044525146,-4.819267749786377,3.857337236404419,-1.708364486694336,1.0064899921417236,2.463747262954712,6.118755340576172
Na,-0.9387961626052856,0.611358642578125,2.5259652137756348,-4.187733173370361,0.035689253360033035,-1.253260612487793,-0.2508275806903839,-1.8250644207000732,3.7858901023864746,-3.644007921218872,-3.5644421577453613,13.364004135131836,-0.1461808681488037,14.066915512084961,-6.217662334442139,16.159385681152344,7.6866350173950195,1.6193829774856567,-1.9042696952819824,13.20293140411377
Mg,-3.133857250213623,-16.910287857055664,0.9385339021682739,-9.653861045837402,2.113419532775879,-5.081271648406982,13.363381385803223,5.102447509765625,-7.167874336242676,0.14663244783878326,5.739068031311035,-12.03117561340332,-12.899744033813477,-7.271061897277832,6.705712795257568,15.049367904663086,9.562697410583496,5.947327613830566,-3.118243932723999,24.971729278564453
Al,10.074528694152832,-1.0143930912017822,5.132903575897217,3.3791725635528564,-2.650301218032837,-22.706438064575195,-12.156434059143066,5.063446998596191,14.111167907714844,-5.7932047843933105,24.627574920654297,3.264068603515625,8.847549438476562,-5.666388511657715,13.82344913482666,3.920597791671753,-12.08078670501709,8.737800598144531,-2.71708345413208,21.822629928588867
Si,2.3682734966278076,-4.101667404174805,-2.6669325828552246,0.22998377680778503,6.960375785827637,-8.600902557373047,2.734081268310547,9.88194465637207,6.627734661102295,-3.289813995361328,-27.720327377319336,1.9939780235290527,-2.4197893142700195,-0.5002946853637695,12.573527336120605,3.0255227088928223,-28.376510620117188,11.166245460510254,-1.0821350812911987,17.51971435546875
P,8.081465721130371,-7.182343482971191,-0.40213632583618164,-2.578713893890381,3.5028600692749023,-15.057857513427734,9.64876937866211,-26.51119041442871,-7.913924694061279,9.332645416259766,-3.197287082672119,-5.737948894500732,1.3303629159927368,6.2236433029174805,-6.177785873413086,1.6576815843582153,-15.967585563659668,5.220849990844727,-0.10617678612470627,11.846125602722168
S,1.7377009391784668,-0.11005517095327377,1.2394096851348877,-0.05454622209072113,0.1207980215549469,1.0056933164596558,1.7430799007415771,3.482051372528076,6.330943584442139,-9.415824890136719,3.120675802230835,6.489826202392578,-11.181205749511719,-26.4772891998291,-38.56510543823242,3.1401312351226807,-12.708173751831055,4.3018670082092285,11.172160148620605,12.918784141540527
Cl,0.4758521318435669,0.7924699783325195,-0.5745850205421448,0.5526617765426636,0.30172231793403625,0.3435005843639374,3.0012741088867188,8.39863395690918,5.805552959442139,25.717573165893555,3.201058864593506,1.5989147424697876,1.7430803775787354,3.312095880508423,-6.41294002532959,3.020753860473633,-2.509938955307007,1.7236943244934082,1.5442835092544556,7.539577007293701
K,4.2098283767700195,-7.936000347137451,-9.970891952514648,-3.6867599487304688,-3.4586849212646484,1.9624956846237183,-5.7317914962768555,-2.8253579139709473,8.322052955627441,-3.4732279777526855,-3.2258269786834717,13.683860778808594,0.099823959171772,17.242218017578125,-8.050422668457031,14.446864128112793,5.83642578125,2.2208685874938965,-1.3206480741500854,11.495359420776367
Ca,1.5842477083206177,5.4971723556518555,-1.281558632850647,0.7955758571624756,-1.7973085641860962,-6.560064315795898,-6.9362616539001465,-1.0583593845367432,-0.9914422035217285,2.2583768367767334,-3.477173328399658,-11.786162376403809,-20.475433349609375,-0.3727720379829407,1.6420307159423828,9.729722023010254,9.650370597839355,-4.505726337432861,-3.429981231689453,18.622251510620117
Sc,0.38795530796051025,3.1229465007781982,-1.4226447343826294,-0.9058369398117065,-3.466982841491699,-3.4798178672790527,3.5649173259735107,3.719500780105591,-3.5556063652038574,-2.049579620361328,3.7676780223846436,2.0439929962158203,0.9627008438110352,0.14357055723667145,1.28455650806427,-2.6447582244873047,-0.6517199277877808,-8.347578048706055,-3.332280158996582,17.39216423034668
Ti,0.6233702301979065,-0.786641538143158,2.3910679817199707,3.3567724227905273,-6.383314609527588,-0.47816187143325806,-0.8243618607521057,9.865089416503906,-10.682060241699219,-2.672330617904663,3.2567687034606934,6.824724197387695,-6.381346225738525,8.00799560546875,0.29447466135025024,-11.273330688476562,-4.914557456970215,3.3338592052459717,-3.159882068634033,18.24694061279297
V,-0.1924830973148346,-0.6947434544563293,0.8015609383583069,3.527951955795288,-0.7527503967285156,1.3507745265960693,-0.16350965201854706,0.5008567571640015,-7.892085552215576,-0.4776109457015991,4.741166591644287,5.278012275695801,-8.232168197631836,10.641962051391602,-1.4333794116973877,-12.444846153259277,-4.630134582519531,6.5310959815979,-2.886841297149658,15.464523315429688
Cr,-0.386372834444046,0.37406453490257263,0.9775720834732056,2.487382650375366,1.6577131748199463,3.929739475250244,0.15611465275287628,-0.13253188133239746,-2.10789155960083,-1.2307484149932861,5.3362321853637695,4.171237468719482,-7.579455375671387,7.514187335968018,-0.6980039477348328,-12.347057342529297,-1.9694852828979492,6.248090744018555,-2.904590129852295,15.472880363464355
Mn,4.8822760581970215,1.0676727294921875,0.1796250343322754,2.172973871231079,10.988966941833496,5.048841953277588,8.065681457519531,4.011022090911865,2.61881947517395,-3.514657497406006,5.628385066986084,-0.6144134402275085,-12.877608299255371,6.214107513427734,1.8467234373092651,-15.808355331420898,6.048978328704834,13.062914848327637,-3.963330030441284,21.43011474609375
Fe,3.2240655422210693,4.901350498199463,0.794472336769104,-3.79931902885437,14.831546783447266,5.724575042724609,6.554683685302734,-2.8259525299072266,17.164663314819336,-3.4402453899383545,6.55067777633667,-0.1079329401254654,-8.266356468200684,6.776422023773193,1.3492228984832764,-20.693405151367188,6.580536842346191,14.281903266906738,-3.5711233615875244,21.189603805541992
Co,0.6946000456809998,-1.0880991220474243,0.7076574563980103,-12.506049156188965,0.9168455004692078,-0.4444591999053955,-0.23876257240772247,-3.428499460220337,12.822772979736328,-0.7048495411872864,-3.6114614009857178,-3.5534749031066895,-1.519659161567688,1.0417213439941406,-0.9804182648658752,-20.52733612060547,12.593374252319336,18.452674865722656,-3.487692356109619,22.15526008605957
Ni,-7.785119533538818,-8.171024322509766,5.981515884399414,1.9901821613311768,-29.980064392089844,-4.792417049407959,4.929696083068848,-5.74724006652832,12.440518379211426,0.8825746178627014,-11.234251976013184,-4.0595173835754395,5.892366409301758,-4.382531642913818,-2.7421114444732666,-19.00992202758789,17.101364135742188,19.88735580444336,-3.298171281814575,24.088685989379883
Cu,9.641385078430176,4.596640586853027,-7.111394882202148,31.00265121459961,5.484440326690674,-0.4709256887435913,11.233800888061523,-0.6056753396987915,-0.30498749017715454,-2.5487775802612305,-4.517460346221924,2.8574962615966797,8.248797416687012,-2.2967286109924316,-0.22368526458740234,0.5421053171157837,14.934867858886719,14.967545509338379,-2.979315757751465,20.619096755981445
Zn,-0.0677354484796524,-9.984282493591309,-1.5653483867645264,-2.598686695098877,4.242929935455322,-0.4776538610458374,9.050121307373047,2.9478812217712402,-6.258113384246826,-0.900737464427948,4.378825664520264,-8.295161247253418,-4.792300224304199,-7.905184745788574,6.598995685577393,11.055553436279297,8.274023056030273,11.691607475280762,-2.4979066848754883,21.39234161376953
Ga,-0.011927668936550617,2.8360748291015625,2.259331226348877,2.0336837768554688,-2.359010934829712,-3.128741979598999,-6.352152347564697,-0.208590567111969,7.781460762023926,-3.395200252532959,14.402974128723145,2.357766628265381,7.548610210418701,-5.197517395019531,11.678946495056152,6.003030300140381,-11.130406379699707,7.487769603729248,-2.3920223712921143,20.35677146911621
Ge,2.3447563648223877,2.8226566314697266,1.1106538772583008,-0.8251927495002747,0.13323894143104553,4.405863285064697,2.6493349075317383,5.996646881103516,4.914854526519775,-2.3984436988830566,-22.574384689331055,0.7340648770332336,-2.066767930984497,-1.523482322692871,13.338223457336426,4.9197564125061035,-25.206260681152344,11.647255897521973,-1.2524313926696777,17.999059677124023
As,3.322390079498291,0.18507219851016998,0.5900166630744934,-1.3676751852035522,0.3512914180755615,-4.573034763336182,4.395115375518799,-18.305891036987305,-3.978708267211914,5.727659225463867,0.9830904603004456,-3.650085926055908,2.5076987743377686,3.7798545360565186,-3.588608980178833,1.7189388275146484,-12.54151725769043,3.375189781188965,-0.39601725339889526,11.819061279296875
Se,0.2580678462982178,0.7147034406661987,0.25109735131263733,0.3599565923213959,0.16126063466072083,0.09569612145423889,0.6435741782188416,0.43201744556427,2.2711923122406006,-4.251639366149902,1.2370209693908691,4.37849235534668,-6.75340461730957,-15.984437942504883,-25.23764419555664,2.018095016479492,-9.774811744689941,3.479215383529663,5.9915266036987305,11.038061141967773
Br,0.3916936218738556,0.07402197271585464,-0.9896599054336548,0.2904607355594635,0.1913290023803711,0.39052698016166687,1.6995315551757812,5.391580104827881,3.7032551765441895,18.005949020385742,2.0257508754730225,0.9494802951812744,1.458158254623413,1.947878122329712,-4.60144567489624,2.4101288318634033,-2.0602121353149414,1.542961835861206,1.1483027935028076,6.5296735763549805
Kr,-0.010975047945976257,0.011781035922467709,-0.019178932532668114,0.04124331474304199,-0.004958647303283215,0.02735869027674198,-0.010214054957032204,0.0012149781687185168,0.0070397392846643925,-0.0043862503953278065,-0.0137735391035676,-0.026794852688908577,-0.03404277190566063,0.013523533008992672,0.006981419399380684,0.014552715234458447,0.01943947933614254,0.019026797264814377,0.001763911102898419,0.03222675248980522
Rb,3.5720064640045166,-6.964901447296143,-8.9159517288208,-2.534707546234131,-2.636120319366455,2.388922691345215,-4.659540176391602,-2.0583367347717285,7.033527374267578,-2.754366636276245,-2.6225740909576416,11.381927490234375,0.6977969408035278,14.485158920288086,-6.402763843536377,11.519943237304688,4.708364963531494,1.82759428024292,-1.2350176572799683,9.704804420471191
Sr,2.016749858856201,8.989736557006836,-1.9275206327438354,3.3323709964752197,-2.749460458755493,-4.758718490600586,-12.788780212402344,-2.681957483291626,0.9103507995605469,3.5652194023132324,-3.9364702701568604,-10.027578353881836,-19.202621459960938,1.3180917501449585,0.07469279319047928,7.8499298095703125,7.885666847229004,-2.3420262336730957,-2.5210494995117188,15.75672435760498
Y,0.135054349899292,4.6728835105896,-4.764705657958984,-2.695448398590088,-1.4991698265075684,-2.7151072025299072,6.126965045928955,1.1387640237808228,1.331581473350525,-2.1208972930908203,2.2853310108184814,0.5991584062576294,3.6651437282562256,-1.8827086687088013,1.541355848312378,-2.5944032669067383,0.5916125178337097,-20.65892219543457,-5.5316925048828125,23.732379913330078
Zr,1.0400842428207397,-3.413444757461548,0.6195992827415466,0.3578937351703644,-8.039908409118652,-2.6532886028289795,-0.3981022834777832,10.265077590942383,-12.654374122619629,-0.9284275770187378,0.9840019941329956,5.07832145690918,-3.117124557495117,4.153512001037598,-0.45792198181152344,-5.53959321975708,-4.587539196014404,-1.9840493202209473,-2.2891950607299805,15.8091459274292
Nb,0.3937135338783264,-3.192354202270508,0.15569104254245758,2.3188929557800293,-3.6200170516967773,-2.4409286975860596,-2.4626049995422363,3.0030157566070557,-12.17119026184082,1.1778531074523926,3.778839111328125,5.533121109008789,-3.486712694168091,7.979208469390869,-1.9151967763900757,-7.094483375549316,-5.503598690032959,1.4972167015075684,-1.8540964126586914,10.767502784729004
Mo,-1.958751916885376,-0.9604569673538208,-0.2908713221549988,1.238102674484253,1.0457408428192139,1.154131293296814,-3.8996992111206055,1.1341559886932373,-8.082335472106934,0.15548208355903625,3.5734755992889404,4.807506084442139,-4.395479679107666,6.025336742401123,-3.675753116607666,-8.433897018432617,-3.773963689804077,3.944662570953369,-1.487294316291809,9.927956581115723
Tc,-0.2323826253414154,0.09255329519510269,-1.1096529960632324,-1.888203501701355,3.1283304691314697,-0.0698365569114685,-2.5967721939086914,1.2049590349197388,-2.741506338119507,0.5677842497825623,0.5275332927703857,0.8885321617126465,1.3946590423583984,0.8950178027153015,-0.9439725875854492,-2.36995005607605,0.11042595654726028,3.289600372314453,-0.6261436343193054,5.891332626342773
Ru,1.3380228281021118,1.7704434394836426,-2.883898973464966,-10.163052558898926,9.017007827758789,0.21156859397888184,-8.625722885131836,0.7226324677467346,-5.420936584472656,1.1971122026443481,-1.024666666984558,0.2759464979171753,6.943070888519287,-2.084876537322998,-1.2315170764923096,-7.49269437789917,3.339717388153076,10.058838844299316,-1.4607170820236206,12.568199157714844
Rh,0.8901405930519104,3.433120012283325,-2.755061149597168,-9.691583633422852,4.7962327003479,-0.5950859785079956,-11.339178085327148,-0.3828810751438141,-6.345558166503906,2.4035584926605225,-4.56074333190918,-0.45772385597229004,13.257040023803711,-7.447811603546143,-1.887702465057373,-5.5118584632873535,7.091315746307373,11.644123077392578,-1.5962713956832886,17.369369506835938
